Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2021-04-17,0.0,0.0,535.0,13857.0
2021-04-18,0.0,0.0,29.0,1737.0
2021-04-19,0.0,0.0,15564.0,135676.0
2021-04-20,0.0,0.0,38337.0,111860.0
2021-04-21,0.0,0.0,41577.0,104939.0
2021-04-22,0.0,0.0,40928.0,103487.0
2021-04-23,0.0,0.0,25564.0,118287.0
2021-04-24,0.0,0.0,1274.0,10664.0
2021-04-25,0.0,0.0,0.0,693.0
2021-04-26,0.0,0.0,27439.0,126251.0
2021-04-27,0.0,0.0,38954.0,93622.0
2021-04-28,0.0,0.0,29165.0,96523.0
2021-04-29,0.0,0.0,17740.0,106846.0
2021-04-30,0.0,0.0,6355.0,30595.0
2021-05-01,0.0,0.0,537.0,673.0
2021-05-02,0.0,0.0,59.0,607.0
2021-05-03,0.0,0.0,15136.0,60786.0
2021-05-04,0.0,0.0,37913.0,50769.0
2021-05-05,0.0,0.0,42806.0,50925.0
2021-05-06,0.0,0.0,35240.0,41495.0
2021-05-07,0.0,0.0,26732.0,37187.0
2021-05-08,0.0,0.0,3515.0,4697.0
2021-05-09,0.0,0.0,48.0,398.0
2021-05-10,0.0,0.0,35864.0,34609.0
2021-05-11,0.0,0.0,61784.0,23607.0
2021-05-12,0.0,0.0,56528.0,22018.0
2021-05-13,0.0,0.0,42711.0,18000.0
2021-05-14,0.0,0.0,36104.0,20175.0
2021-05-15,0.0,0.0,167.0,240.0
2021-05-16,0.0,0.0,80.0,91.0
2021-05-17,0.0,0.0,17433.0,29693.0
2021-05-18,0.0,0.0,16380.0,31364.0
2021-05-19,0.0,0.0,11272.0,30040.0
2021-05-20,0.0,0.0,9302.0,54091.0
2021-05-21,0.0,0.0,331.0,1036.0
2021-05-22,0.0,0.0,1299.0,4987.0
2021-05-23,0.0,0.0,57.0,532.0
2021-05-24,7.0,0.0,16990.0,44166.0
2021-05-25,21.0,0.0,29600.0,27333.0
2021-05-26,215.0,0.0,25057.0,23135.0
2021-05-27,849.0,0.0,18466.0,16998.0
2021-05-28,1786.0,0.0,21651.0,17485.0
2021-05-29,301.0,0.0,2757.0,2736.0
2021-05-30,56.0,0.0,336.0,583.0
