Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2021-04-16,0.0,0.0,39486.0,18918.0
2021-04-17,0.0,0.0,5395.0,2510.0
2021-04-18,0.0,0.0,651.0,225.0
2021-04-19,0.0,0.0,8505.0,35420.0
2021-04-20,0.0,0.0,6160.0,33080.0
2021-04-21,0.0,0.0,4506.0,26647.0
2021-04-22,0.0,0.0,6202.0,50177.0
2021-04-23,0.0,0.0,3429.0,36425.0
2021-04-24,0.0,0.0,1123.0,4627.0
2021-04-25,0.0,0.0,2.0,350.0
2021-04-26,0.0,0.0,17941.0,25136.0
2021-04-27,0.0,0.0,24942.0,14083.0
2021-04-28,3607.0,0.0,25731.0,14167.0
2021-04-29,6545.0,0.0,14832.0,9496.0
2021-04-30,13727.0,0.0,24707.0,12517.0
2021-05-01,286.0,0.0,639.0,166.0
2021-05-02,182.0,0.0,333.0,284.0
2021-05-03,20099.0,0.0,8785.0,47155.0
2021-05-04,16772.0,0.0,8270.0,56043.0
2021-05-05,9828.0,0.0,5804.0,65891.0
2021-05-06,7216.0,0.0,5670.0,68719.0
2021-05-07,4147.0,0.0,7290.0,72669.0
2021-05-08,670.0,0.0,2225.0,14491.0
2021-05-09,70.0,0.0,18.0,874.0
2021-05-10,2955.0,0.0,3666.0,96693.0
2021-05-11,1981.0,0.0,4409.0,101036.0
2021-05-12,1668.0,0.0,2977.0,100222.0
2021-05-13,552.0,0.0,5242.0,91231.0
2021-05-14,243.0,0.0,8848.0,94161.0
2021-05-15,40.0,0.0,127.0,885.0
2021-05-16,0.0,0.0,3.0,265.0
2021-05-17,295.0,0.0,35976.0,88340.0
2021-05-18,1430.0,0.0,62321.0,72361.0
2021-05-19,6519.0,0.0,68313.0,50920.0
2021-05-20,6718.0,0.0,61712.0,60089.0
2021-05-21,71.0,0.0,6722.0,1510.0
2021-05-22,493.0,0.0,11317.0,15034.0
2021-05-23,20.0,0.0,1073.0,2604.0
2021-05-24,12404.0,0.0,57297.0,106182.0
2021-05-25,17556.0,0.0,81912.0,90425.0
2021-05-26,25174.0,0.0,49164.0,106349.0
2021-05-27,33087.0,0.0,38288.0,95586.0
2021-05-28,30318.0,0.0,26417.0,88728.0
2021-05-29,8142.0,0.0,9507.0,23950.0
2021-05-30,1338.0,0.0,1225.0,6557.0
2021-05-31,39828.0,0.0,54087.0,62067.0
2021-06-01,40659.0,0.0,88727.0,10071.0
2021-06-02,28928.0,0.0,71804.0,8385.0
2021-06-03,1680.0,0.0,40588.0,13350.0
2021-06-04,1016.0,0.0,18878.0,22500.0
2021-06-05,199.0,0.0,3775.0,10779.0
2021-06-06,25.0,0.0,495.0,1461.0
2021-06-07,1314.0,0.0,4527.0,48058.0
2021-06-08,1152.0,0.0,5405.0,53676.0
2021-06-09,1432.0,0.0,6115.0,69073.0
2021-06-10,800.0,0.0,7475.0,88070.0
2021-06-11,787.0,0.0,8511.0,71336.0
2021-06-12,215.0,0.0,1754.0,20748.0
2021-06-13,10.0,0.0,477.0,938.0
2021-06-14,776.0,0.0,4228.0,100058.0
2021-06-15,483.0,0.0,5584.0,79045.0
2021-06-16,442.0,0.0,12603.0,92547.0
2021-06-17,400.0,0.0,12977.0,57577.0
2021-06-18,323.0,0.0,16854.0,44303.0
2021-06-19,66.0,0.0,3160.0,13354.0
2021-06-20,5.0,0.0,449.0,1343.0
2021-06-21,32.0,0.0,3976.0,3313.0
2021-06-22,473.0,0.0,74990.0,24182.0
2021-06-23,497.0,0.0,54141.0,20897.0
2021-06-24,619.0,0.0,36150.0,11700.0
2021-06-25,578.0,0.0,33014.0,4610.0
2021-06-26,287.0,0.0,9753.0,1059.0
2021-06-27,10.0,0.0,964.0,63.0
2021-06-28,51.0,0.0,1090.0,103.0
2021-06-29,938.0,0.0,34920.0,4098.0
2021-06-30,851.0,0.0,44496.0,2772.0
2021-07-01,636.0,0.0,83994.0,2276.0
2021-07-02,545.0,0.0,63266.0,1629.0
2021-07-03,198.0,0.0,14960.0,398.0
2021-07-04,18.0,0.0,1974.0,15.0
2021-07-05,922.0,0.0,45406.0,1449.0
2021-07-06,788.0,0.0,41507.0,1419.0
2021-07-07,497.0,0.0,72281.0,1047.0
2021-07-08,413.0,0.0,56601.0,1053.0
2021-07-09,566.0,0.0,48898.0,1135.0
2021-07-10,586.0,0.0,19249.0,179.0
2021-07-11,37.0,0.0,2347.0,19.0
2021-07-12,691.0,0.0,47427.0,1095.0
2021-07-13,527.0,0.0,78618.0,1088.0
2021-07-14,438.0,0.0,53191.0,1102.0
2021-07-15,1896.0,0.0,46955.0,22705.0
2021-07-16,84.0,0.0,1547.0,499.0
2021-07-17,197.0,0.0,5577.0,4193.0
2021-07-18,0.0,0.0,377.0,554.0
2021-07-19,820.0,0.0,33224.0,13628.0
2021-07-20,818.0,0.0,27471.0,11944.0
2021-07-21,793.0,0.0,22349.0,10222.0
2021-07-22,759.0,0.0,27442.0,7660.0
2021-07-23,799.0,0.0,50492.0,6901.0
2021-07-24,769.0,0.0,9837.0,12442.0
2021-07-25,22.0,0.0,812.0,1228.0
2021-07-26,718.0,0.0,12817.0,1956.0
2021-07-27,399.0,0.0,7659.0,1229.0
2021-07-28,362.0,0.0,5975.0,1004.0
2021-07-29,292.0,0.0,7363.0,1005.0
2021-07-30,283.0,0.0,7557.0,589.0
2021-07-31,18.0,0.0,907.0,140.0
2021-08-01,0.0,0.0,32.0,2.0
2021-08-02,1045.0,0.0,621.0,97881.0
2021-08-03,1253.0,0.0,616.0,110960.0
2021-08-04,239.0,0.0,1311.0,3245.0
2021-08-05,175.0,0.0,1081.0,2014.0
2021-08-06,229.0,0.0,1120.0,1642.0
2021-08-07,8.0,0.0,55.0,179.0
2021-08-08,0.0,0.0,0.0,56.0
2021-08-09,430.0,0.0,322.0,76153.0
2021-08-10,403.0,0.0,290.0,67344.0
2021-08-11,106.0,0.0,730.0,1990.0
2021-08-12,56.0,0.0,615.0,1663.0
2021-08-13,98.0,0.0,545.0,1456.0
2021-08-14,7.0,0.0,58.0,216.0
2021-08-15,1.0,0.0,3.0,220.0
2021-08-16,180.0,0.0,317.0,38071.0
2021-08-17,226.0,0.0,405.0,33664.0
2021-08-18,60.0,0.0,541.0,1329.0
2021-08-19,49.0,0.0,505.0,1016.0
2021-08-20,22.0,0.0,500.0,787.0
2021-08-21,2.0,0.0,43.0,133.0
2021-08-22,1.0,0.0,11.0,64.0
2021-08-23,1582.0,0.0,317.0,23154.0
2021-08-24,1404.0,0.0,318.0,20478.0
2021-08-25,946.0,0.0,308.0,13130.0
2021-08-26,53.0,0.0,548.0,977.0
2021-08-27,54.0,0.0,463.0,897.0
2021-08-28,6.0,0.0,69.0,149.0
2021-08-29,3.0,0.0,13.0,61.0
2021-08-30,1086.0,0.0,320.0,16540.0
2021-08-31,1166.0,0.0,329.0,16158.0
2021-09-01,66.0,0.0,495.0,864.0
2021-09-02,48.0,0.0,393.0,816.0
2021-09-03,47.0,0.0,322.0,586.0
2021-09-04,18.0,0.0,18.0,147.0
2021-09-05,0.0,0.0,6.0,12.0
2021-09-06,1075.0,0.0,218.0,13479.0
2021-09-07,934.0,0.0,268.0,14016.0
2021-09-08,42.0,0.0,344.0,784.0
2021-09-09,30.0,0.0,307.0,762.0
2021-09-10,39.0,0.0,305.0,570.0
2021-09-11,8.0,0.0,25.0,142.0
2021-09-12,0.0,0.0,3.0,15.0
2021-09-13,714.0,0.0,495.0,64134.0
2021-09-14,572.0,0.0,438.0,50845.0
2021-09-15,365.0,0.0,433.0,54244.0
2021-09-16,223.0,0.0,324.0,26497.0
2021-09-17,0.0,0.0,2.0,75.0
2021-09-18,0.0,0.0,0.0,5.0
2021-09-19,0.0,0.0,0.0,0.0
2021-09-20,573.0,0.0,371.0,64882.0
2021-09-21,570.0,0.0,310.0,60692.0
2021-09-22,432.0,0.0,345.0,73038.0
2021-09-23,387.0,0.0,382.0,50649.0
2021-09-24,365.0,0.0,362.0,70982.0
2021-09-25,4.0,0.0,32.0,744.0
2021-09-26,1.0,0.0,7.0,193.0
2021-09-27,605.0,0.0,313.0,97999.0
2021-09-28,770.0,0.0,414.0,119898.0
2021-09-29,687.0,0.0,391.0,122521.0
2021-09-30,635.0,0.0,384.0,114286.0
2021-10-01,575.0,0.0,355.0,104157.0
2021-10-02,29.0,0.0,196.0,5720.0
2021-10-03,6.0,0.0,152.0,257.0
2021-10-04,790.0,0.0,3677.0,79426.0
2021-10-05,630.0,0.0,3596.0,72873.0
2021-10-06,486.0,0.0,3567.0,65587.0
2021-10-07,441.0,0.0,3592.0,59792.0
2021-10-08,396.0,0.0,3584.0,50743.0
2021-10-09,17.0,0.0,196.0,1802.0
2021-10-10,2.0,0.0,39.0,65.0
2021-10-11,3.0,0.0,33.0,484.0
