fecha,laboratorio,dosis_administradas,segundas_dosis_por_administrar,dosis_importadas,dosis_en_stock
2021-11-04,Sinovac,23122084,1029102,24171476,1049392
2021-11-04,todos laboratorios,37800804,1309333,40748944,2948140
2021-11-05,AstraZeneca,3009143,280050,4030900,1021757
2021-11-05,CanSino,572116,0,575908,3792
2021-11-05,Pfizer,11269596,0,12368460,1098864
2021-11-05,Sinovac,23210051,983836,24171476,961425
2021-11-05,todos laboratorios,38060906,1263886,41146744,3085838
2021-11-06,AstraZeneca,3010688,280040,4030900,1020212
2021-11-06,CanSino,572123,0,575908,3785
2021-11-06,Pfizer,11294359,0,12368460,1074101
2021-11-06,Sinovac,23216525,982474,24171476,954951
2021-11-06,todos laboratorios,38093695,1262514,41146744,3053049
2021-11-07,AstraZeneca,3010863,280038,4030900,1020037
2021-11-07,CanSino,572123,0,575908,3785
2021-11-07,Pfizer,11297091,0,12368460,1071369
2021-11-07,Sinovac,23216853,982460,24171476,954623
2021-11-07,todos laboratorios,38096930,1262498,41146744,3049814
2021-11-08,AstraZeneca,3022988,279935,4030900,1007912
2021-11-08,CanSino,572284,0,575908,3624
2021-11-08,Pfizer,11408999,0,12368460,959461
2021-11-08,Sinovac,23277606,963070,24171476,893870
2021-11-08,todos laboratorios,38281877,1243005,41146744,2864867
2021-11-09,AstraZeneca,3031145,279634,4030900,999755
2021-11-09,CanSino,572448,0,575908,3460
2021-11-09,Pfizer,11555271,0,12368460,813189
2021-11-09,Sinovac,23352334,927101,24171476,819142
2021-11-09,todos laboratorios,38511198,1206735,41146744,2635546
2021-11-10,AstraZeneca,3037882,279337,4030900,993018
2021-11-10,CanSino,572497,0,575908,3411
2021-11-10,Pfizer,11689490,0,12368460,678970
2021-11-10,Sinovac,23423402,890334,24171476,748074
2021-11-10,todos laboratorios,38723271,1169671,41146744,2423473
2021-11-11,AstraZeneca,3043913,279077,4030900,986987
2021-11-11,CanSino,572542,0,575908,3366
2021-11-11,Pfizer,11806216,0,12755730,949514
2021-11-11,Sinovac,23490033,854073,24171476,681443
2021-11-11,todos laboratorios,38912704,1133150,41534014,2621310
2021-11-12,AstraZeneca,3049976,278836,4030900,980924
2021-11-12,CanSino,572584,0,575908,3324
2021-11-12,Pfizer,11935335,0,13153530,1218195
2021-11-12,Sinovac,23550029,824681,24171476,621447
2021-11-12,todos laboratorios,39107924,1103517,41931814,2823890
2021-11-13,AstraZeneca,3051330,278810,4030900,979570
2021-11-13,CanSino,572601,0,575908,3307
2021-11-13,Pfizer,11960970,0,13153530,1192560
2021-11-13,Sinovac,23555849,823722,24171476,615627
2021-11-13,todos laboratorios,39140750,1102532,41931814,2791064
2021-11-14,AstraZeneca,3051506,278813,4030900,979394
2021-11-14,CanSino,572615,0,575908,3293
2021-11-14,Pfizer,11963682,0,13153530,1189848
2021-11-14,Sinovac,23556193,823689,24171476,615283
2021-11-14,todos laboratorios,39143996,1102502,41931814,2787818
2021-11-15,AstraZeneca,3061565,278301,4030900,969335
2021-11-15,CanSino,572668,0,575908,3240
2021-11-15,Pfizer,12088307,0,13153530,1065223
2021-11-15,Sinovac,23614506,797315,24171476,556970
2021-11-15,todos laboratorios,39337046,1075616,41931814,2594768
2021-11-16,AstraZeneca,3070037,277801,4030900,960863
2021-11-16,CanSino,572712,0,575908,3196
2021-11-16,Pfizer,12214193,0,13153530,939337
2021-11-16,Sinovac,23671915,769215,24171476,499561
2021-11-16,todos laboratorios,39528857,1047016,41931814,2402957
2021-11-17,AstraZeneca,3077488,277461,4030900,953412
2021-11-17,CanSino,572750,0,575908,3158
2021-11-17,Pfizer,12336645,0,13153530,816885
2021-11-17,Sinovac,23723681,742652,24171476,447795
2021-11-17,todos laboratorios,39710564,1020113,41931814,2221250
2021-11-18,AstraZeneca,3083791,277089,4030900,947109
2021-11-18,CanSino,572791,0,575908,3117
2021-11-18,Pfizer,12448170,0,13540800,1092630
2021-11-18,Sinovac,23769422,719509,24171476,402054
2021-11-18,todos laboratorios,39874174,996598,42319084,2444910
2021-11-19,AstraZeneca,3088687,276805,4030900,942213
2021-11-19,CanSino,572834,0,575908,3074
2021-11-19,Pfizer,12562811,0,13938600,1375789
2021-11-19,Sinovac,23808155,700761,24640676,832521
2021-11-19,todos laboratorios,40032487,977566,43186084,3153597
2021-11-20,AstraZeneca,3089481,276793,4030900,941419
2021-11-20,CanSino,572837,0,575908,3071
2021-11-20,Pfizer,12581008,0,13938600,1357592
2021-11-20,Sinovac,23811209,700072,24640676,829467
2021-11-20,todos laboratorios,40054535,976865,43186084,3131549
2021-11-21,AstraZeneca,3089545,276789,4030900,941355
2021-11-21,CanSino,572838,0,575908,3070
2021-11-21,Pfizer,12582801,0,13938600,1355799
2021-11-21,Sinovac,23811391,700065,24640676,829285
2021-11-21,todos laboratorios,40056575,976854,43186084,3129509
2021-11-22,AstraZeneca,3094795,276399,4030900,936105
2021-11-22,CanSino,572869,0,575908,3039
2021-11-22,Pfizer,12677565,0,13938600,1261035
2021-11-22,Sinovac,23849038,682248,24640676,791638
2021-11-22,todos laboratorios,40194267,958647,43186084,2991817
2021-11-23,AstraZeneca,3099786,275951,4030900,931114
