edad,primera dosis,segunda dosis,única dosis,vacunación iniciada,vacunación completada,inmunización,dosis de refuerzo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20.317456229584895,0.0,0.0,20.317456229584895,0.0,0.0,0.0
4,25.64207110315991,0.0,0.0,25.64207110315991,0.0,0.0,0.0
5,29.765587135466127,0.0,0.0,29.765587135466127,0.0,0.0,0.0
6,81.43555764676843,64.2364030452859,0.0,81.43555764676843,64.2364030452859,58.01084516711276,0.00038567450614379487
7,82.00217167183452,70.0403366483342,0.0,82.00217167183452,70.0403366483342,65.14701904720839,0.0
8,81.94437328309562,71.37947478983317,0.0,81.94437328309562,71.37947478983317,66.97158757246962,0.0
9,83.75438773804572,73.33304826803395,0.0,83.75438773804572,73.33304826803395,68.8980800852086,0.00077745081651772
10,85.21699559852085,75.02170147187604,0.0,85.21699559852085,75.02170147187604,70.55330149176109,0.0007648095815344374
11,86.84578007937202,77.33635702952289,0.0,86.84578007937202,77.33635702952289,73.15924250322473,0.00038049868157206837
12,96.43506520848725,89.0992539398788,0.0,96.43506520848725,89.0992539398788,86.00974586489767,1.8898403377749877
13,93.02051634436046,86.92922352017277,0.0,93.02051634436046,86.92922352017277,84.4495926180426,1.9471875920290567
14,99.32616516431546,94.01188406968754,0.0,99.32616516431546,94.01188406968754,92.00695258498726,2.8238813209911475
15,97.65758267476453,93.12272865866221,0.0,97.65758267476453,93.12272865866221,91.65794526530915,7.856677846541793
16,97.52658478278789,93.67653120105514,0.0,97.52658478278789,93.67653120105514,92.48248289506223,20.424944357431375
17,94.23014520970229,90.7584976068792,0.0,94.23014520970229,90.7584976068792,89.77772369595198,26.36610691976961
18,68.91697970703397,65.73728459841392,31.713871166497725,100.63085087353168,97.45115576491165,96.68793353606424,42.30874724226343
19,80.33363918853274,77.08206429127696,14.47247688737075,94.80611607590349,91.55454117864771,90.88178825053396,41.448519943558146
20,88.62674062323032,85.05192335819804,7.956331124387289,96.5830717476176,93.00825448258533,92.27581447853497,45.74843517362166
21,86.6775522728269,82.99909408378264,6.8119054924823565,93.48945776530925,89.81099957626499,89.0636186969418,44.68723973173191
