fecha,primera dosis,segunda dosis,única dosis,vacunación iniciada,vacunación completada,inmunización,3ª dosis,4ª dosis
2021-03-29,33.31128204109255,17.21092857164999,0.0,33.31128204109255,17.21092857164999,10.524437423986944,0.0,0.0
2021-03-30,33.99230921799745,17.946579194621016,0.0,33.99230921799745,17.946579194621016,11.762929670521883,0.0,0.0
2021-03-31,34.638435117799176,18.725698880542044,0.0,34.638435117799176,18.725698880542044,12.86111553079898,0.0,0.0
2021-04-01,35.3236140628161,19.582711224505818,0.0,35.3236140628161,19.582711224505818,13.807408675203318,0.0,0.0
2021-04-02,35.33306098683107,19.609085369550304,0.0,35.33306098683107,19.609085369550304,14.594191600185443,0.0,0.0
2021-04-03,35.34261970876338,19.615935532848948,0.0,35.34261970876338,19.615935532848948,14.650176948153666,0.0,0.0
2021-04-04,35.34596348283645,19.618313779454112,0.0,35.34596348283645,19.618313779454112,14.656132728113613,0.0,0.0
2021-04-05,35.75245054682648,20.65999087424091,0.0,35.75245054682648,20.65999087424091,15.276352001434265,0.0,0.0
2021-04-06,36.22596554398351,21.405810025966083,0.0,36.22596554398351,21.405810025966083,15.737147444632463,0.0,0.0
2021-04-07,36.708226187310395,22.109557588707965,0.0,36.708226187310395,22.109557588707965,16.066692132877108,0.0,0.0
2021-04-08,37.09832469296354,22.937319532117584,0.0,37.09832469296354,22.937319532117584,16.347538664674495,0.0,0.0
2021-04-09,37.45862905364638,23.69015146229389,0.0,37.45862905364638,23.69015146229389,16.60750439454745,0.0,0.0
2021-04-10,37.51553419357088,23.76559981132577,0.0,37.51553419357088,23.76559981132577,16.621484215938082,0.0,0.0
2021-04-11,37.52111392599069,23.772490628412537,0.0,37.52111392599069,23.772490628412537,16.62363886670858,0.0,0.0
2021-04-12,37.91842339731206,24.580581220094373,0.0,37.91842339731206,24.580581220094373,17.21092857164999,0.0,0.0
2021-04-13,38.29971527611316,25.395776061250622,0.0,38.29971527611316,25.395776061250622,17.946579194621016,0.0,0.0
2021-04-14,38.70306691669424,26.15946763457916,0.0,38.70306691669424,26.15946763457916,18.725698880542044,0.0,0.0
2021-04-15,39.019698945486475,26.896403933599558,0.0,39.019698945486475,26.896403933599558,19.582711224505818,0.0,0.0
2021-04-16,39.316532579463036,27.58725408205957,0.0,39.316532579463036,27.58725408205957,19.609085369550304,0.0,0.0
2021-04-17,39.356708685575114,27.660405492062527,0.0,39.356708685575114,27.660405492062527,19.615935532848948,0.0,0.0
2021-04-18,39.36116027537453,27.669384897514085,0.0,39.36116027537453,27.669384897514085,19.618313779454112,0.0,0.0
2021-04-19,39.58453759593722,28.438092131952235,0.0,39.58453759593722,28.438092131952235,20.65999087424091,0.0,0.0
